Data,PETR4- State,PETR4- Var%,BOVA11- State,BOVA11- Var%,ITUB4- State,ITUB4- Var%,VALE3- State,VALE3- Var%,BBAS3- State,BBAS3- Var%
21/09/17,-1,-1.25%,0,0.00%,0,0.12%,0,-2.00%,0,2.18%
22/09/17,0,0.13%,1,-1.47%,0,0.35%,0,-1.84%,0,-0.61%
25/09/17,0,1.00%,0,-0.30%,0,-0.97%,0,-2.57%,0,-2.82%
26/09/17,0,-1.78%,0,-1.44%,0,0.20%,0,1.32%,0,0.57%
27/09/17,0,-1.61%,0,-0.59%,0,0.04%,0,1.37%,0,-0.50%
28/09/17,0,0.20%,0,-0.11%,0,-0.51%,0,-0.56%,0,-0.85%
29/09/17,0,-0.27%,0,0.32%,0,0.87%,0,0.36%,0,1.08%
02/10/17,0,0.61%,0,0.44%,0,0.16%,0,0.10%,0,0.16%
03/10/17,0,3.79%,0,2.71%,0,3.43%,0,2.44%,0,4.04%
04/10/17,0,-2.02%,0,-0.55%,-1,-0.87%,0,-0.19%,-1,-0.45%
05/10/17,0,1.53%,0,-0.69%,0,1.60%,0,-1.06%,0,1.63%
06/10/17,0,-1.31%,0,-1.05%,0,-1.20%,0,-0.39%,0,0.57%
09/10/17,0,1.26%,0,0.39%,0,-1.17%,0,-2.00%,0,-1.13%
10/10/17,0,1.90%,0,-2.86%,0,2.49%,0,-0.57%,0,2.13%
11/10/17,0,-0.64%,0,0.57%,0,-0.56%,0,-0.71%,0,0.09%
13/10/17,0,0.00%,0,0.13%,0,-0.83%,0,5.82%,0,0.06%
16/10/17,0,0.19%,0,-1.27%,0,-0.49%,-1,1.34%,0,0.20%
17/10/17,0,0.06%,0,1.42%,0,-0.15%,0,-2.30%,0,0.18%
18/10/17,0,0.19%,0,-0.96%,0,0.15%,0,-0.97%,0,-0.35%
19/10/17,0,-0.06%,0,0.62%,0,-0.72%,0,2.28%,0,-0.67%
20/10/17,0,0.45%,0,-1.34%,0,-0.19%,0,-0.16%,0,0.88%
23/10/17,0,-0.13%,0,-1.92%,0,-0.92%,0,-0.73%,0,-3.48%
24/10/17,0,1.93%,0,-2.54%,0,0.74%,0,3.44%,1,0.91%
25/10/17,0,1.26%,0,-0.81%,0,0.65%,0,-0.84%,0,1.62%
26/10/17,0,0.06%,0,0.92%,0,-0.61%,0,-2.63%,0,-1.24%
27/10/17,0,1.81%,0,-4.08%,0,-0.62%,0,-0.35%,0,-0.45%
30/10/17,0,-1.47%,0,-0.71%,0,-1.28%,0,-0.61%,0,-3.54%
