Data,Último,Var%
16/04/19,91,1.33%
16/04/20,74.93,-1.47%
16/05/17,66.45,0.27%
16/05/18,83.42,1.47%
16/05/19,86.56,-1.49%
16/06/17,59.61,-0.47%
16/06/20,90,1.04%
16/07/18,73.95,-0.08%
16/07/19,99.9,-0.14%
16/07/20,96.82,-1.23%
16/08/17,66.42,0.51%
16/08/18,74.14,-0.34%
16/08/19,96.15,0.81%
16/09/19,99.8,0.22%
16/10/17,74.34,-0.15%
16/10/18,82.6,2.66%
16/10/19,101.4,0.82%
16/11/17,70.17,2.50%
16/11/18,85.3,3.21%
16/12/19,107.72,-0.54%
17/01/17,62.28,0.61%
17/01/18,78.41,1.75%
17/01/19,91.97,0.90%
17/01/20,114.1,1.56%
17/02/17,65.42,-0.27%
17/02/20,110.8,0.65%
17/03/17,62.21,-1.91%
17/03/20,71,3.80%
17/04/17,62.25,2.38%
17/04/18,81.11,1.41%
17/04/19,90,-1.10%
17/04/20,76,1.43%
17/05/17,65.33,-1.69%
17/05/18,80.78,-3.16%
17/05/19,86.74,0.21%
17/06/19,94.25,-0.28%
17/06/20,91.95,2.17%
17/07/17,63.06,-0.44%
17/07/18,75.37,1.92%
17/07/19,100.01,0.11%
17/07/20,99.13,2.39%
17/08/17,65.8,-0.93%
17/08/18,73.35,-1.07%
17/08/20,95.83,-1.68%
17/09/18,74.07,1.73%
17/09/19,100.76,0.96%
17/10/17,73.71,-0.85%
17/10/18,82.72,0.15%
17/10/19,101.05,-0.35%
17/11/17,70.91,1.05%
17/12/18,83.24,-1.15%
17/12/19,108.41,0.64%
18/01/17,61.9,-0.61%
18/01/18,78.1,-0.40%
18/01/19,92.61,0.70%
18/02/19,92.98,-1.13%
18/02/20,111.14,0.31%
18/03/19,96.38,0.89%
18/03/20,65.01,-8.44%
18/04/17,61.95,-0.48%
18/04/18,82.7,1.96%
18/04/19,91.16,1.29%
18/05/17,59.67,-8.66%
18/05/18,80.21,-0.71%
18/05/20,78.03,4.65%
18/06/18,67.52,-0.87%
18/06/19,95.77,1.61%
18/06/20,92.63,0.74%
18/07/17,63.12,0.10%
18/07/18,74.66,-0.94%
18/07/19,100.7,0.69%
18/08/17,66.47,1.02%
18/08/20,98.25,2.53%
18/09/17,73.5,0.49%
18/09/18,75.35,1.73%
18/09/19,100.63,-0.13%
18/10/17,74.09,0.52%
18/10/18,80.91,-2.19%
18/10/19,100.75,-0.30%
18/11/19,102,-0.54%
18/12/17,70.67,1.03%
18/12/18,83.5,0.31%
18/12/19,110.16,1.61%
19/01/17,62.1,0.32%
19/01/18,78.42,0.41%
19/02/18,81.86,0.37%
19/02/19,93.78,0.86%
19/02/20,112.08,0.85%
19/03/18,81.09,-1.12%
19/03/19,96.06,-0.33%
19/03/20,65,-0.02%
19/04/17,61.2,-1.21%
19/04/18,82.9,0.24%
19/05/17,60.61,1.58%
19/05/20,77.65,-0.49%
19/06/17,60.09,0.81%
19/06/18,68.81,1.91%
19/06/19,96.63,0.90%
19/06/20,92.64,0.01%
19/07/17,63.09,-0.05%
19/07/18,74.65,-0.01%
19/07/19,99.6,-1.09%
19/08/19,95.77,-0.40%
19/08/20,97,-1.27%
19/09/17,73.45,-0.07%
19/09/18,75.27,-0.11%
19/09/19,100.44,-0.19%
19/10/17,73.79,-0.40%
19/10/18,81.22,0.38%
19/11/18,84.3,-1.17%
19/11/19,101.96,-0.04%
19/12/17,70.17,-0.71%
19/12/18,82.5,-1.20%
19/12/19,110.82,0.60%
20/01/17,62.57,0.76%
20/01/20,114.41,0.27%
20/02/17,66.35,1.42%
20/02/18,82.94,1.32%
20/02/19,93.17,-0.65%
20/02/20,110.2,-1.68%
20/03/17,62.81,0.96%
20/03/18,81.4,0.38%
20/03/19,94.35,-1.78%
20/03/20,64.77,-0.35%
20/04/17,61.51,0.51%
20/04/18,82.74,-0.19%
20/04/20,75.66,-0.45%
20/05/19,88.83,2.41%
20/05/20,78.45,1.03%
20/06/17,58.74,-2.25%
20/06/18,69.51,1.02%
